,System,Genre,Topic,Audience
235,GS,Casual,Rhythm*,Y
236,GS,Casual,Sports*,Y
237,GS,Casual,VirtualPet,Y
238,GS,RPG,Fantasy,Y
239,GS,RPG,Fashion,Y
240,GS,RPG,Medieval,Y
241,GS,RPG,School,Y
242,GS,RPG,WildWest,Y
243,GS,Simulation,Airplane,Y
244,GS,Simulation,Dance,Y
245,GS,Simulation,ExtremeSports,Y
246,GS,Simulation,Fashion,Y
247,GS,Simulation,Life,Y
248,GS,Simulation,Music*,Y
249,GS,Simulation,Racing*,Y
250,GS,Simulation,Rhythm*,Y
251,GS,Simulation,School,Y
252,GS,Simulation,Sports*,Y
253,GS,Simulation,VirtualPet,Y
254,GS,Strategy,Airplane,Y
255,GS,Strategy,Fantasy,Y
256,GS,Strategy,Medieval,Y
257,GS,Strategy,School,Y
258,Gameling,Action,Airplane,Y
259,Gameling,Action,ExtremeSports,Y
260,Gameling,Action,Fantasy,Y
261,Gameling,Action,Medieval,Y
262,Gameling,Action,Music*,Y
263,Gameling,Action,Ninja,Y
264,Gameling,Action,Rhythm*,Y
265,Gameling,Action,Sports*,Y
266,Gameling,Action,Superheroes,Y
267,Gameling,Adventure,Fantasy,Y
268,Gameling,Adventure,Life,Y
269,Gameling,Adventure,Medieval,Y
270,Gameling,Adventure,Pirate,Y
271,Gameling,Adventure,School,Y
272,Gameling,Casual,Airplane,Y
273,Gameling,Casual,Dance,Y
274,Gameling,Casual,Fashion,Y
275,Gameling,Casual,Music*,Y
276,Gameling,Casual,Racing*,Y
277,Gameling,Casual,Rhythm*,Y
278,Gameling,Casual,Sports*,Y
279,Gameling,Casual,VirtualPet,Y
280,Gameling,RPG,Fantasy,Y
281,Gameling,RPG,Fashion,Y
282,Gameling,RPG,Medieval,Y
283,Gameling,RPG,School,Y
284,Gameling,RPG,WildWest,Y
285,Gameling,Simulation,Airplane,Y
286,Gameling,Simulation,Dance,Y
287,Gameling,Simulation,ExtremeSports,Y
288,Gameling,Simulation,Fashion,Y
289,Gameling,Simulation,Life,Y
290,Gameling,Simulation,Music*,Y
291,Gameling,Simulation,Racing*,Y
292,Gameling,Simulation,Rhythm*,Y
293,Gameling,Simulation,School,Y
294,Gameling,Simulation,Sports*,Y
295,Gameling,Simulation,VirtualPet,Y
296,Gameling,Strategy,Airplane,Y
297,Gameling,Strategy,Fantasy,Y
298,Gameling,Strategy,Medieval,Y
299,Gameling,Strategy,School,Y
300,MasterV,Action,Airplane,E
301,MasterV,Action,Aliens,E
302,MasterV,Action,AlternateHistory,E
303,MasterV,Action,Dungeon,E
304,MasterV,Action,Fantasy,E
305,MasterV,Action,Hunting,E
306,MasterV,Action,Medieval,E
307,MasterV,Action,Mythology,E
308,MasterV,Action,ScienceFiction,E
309,MasterV,Action,Space,E
310,MasterV,Action,Sports*,E
311,MasterV,Action,Superheroes,E
312,MasterV,Action,UFO,E
313,MasterV,Action,Vampire,E
314,MasterV,Adventure,Detective*,E
315,MasterV,Adventure,Fantasy,E
316,MasterV,Adventure,Law*,E
317,MasterV,Adventure,Life,E
318,MasterV,Adventure,Medieval,E
319,MasterV,Adventure,Pirate,E
320,MasterV,Adventure,Romance,E
321,MasterV,Adventure,ScienceFiction,E
322,MasterV,Adventure,TimeTravel,E
323,MasterV,Casual,Airplane,E
324,MasterV,Casual,Cooking,E
325,MasterV,Casual,Farming,E
326,MasterV,Casual,Movies,E
327,MasterV,Casual,Racing*,E
328,MasterV,Casual,Sports*,E
329,MasterV,Casual,Vocabulary,E
330,MasterV,RPG,Aliens,E
331,MasterV,RPG,AlternateHistory,E
332,MasterV,RPG,Detective*,E
333,MasterV,RPG,Dungeon,E
334,MasterV,RPG,Fantasy,E
335,MasterV,RPG,Medieval,E
336,MasterV,RPG,ScienceFiction,E
337,MasterV,RPG,Thief,E
338,MasterV,RPG,TimeTravel,E
339,MasterV,RPG,Vampire,E
340,MasterV,Simulation,Airplane,E
341,MasterV,Simulation,Business,E
342,MasterV,Simulation,City,E
343,MasterV,Simulation,Colonization,E
344,MasterV,Simulation,Construction,E
345,MasterV,Simulation,Cooking,E
346,MasterV,Simulation,Dungeon,E
347,MasterV,Simulation,Evolution,E
348,MasterV,Simulation,Farming,E
349,MasterV,Simulation,GameDev,E
350,MasterV,Simulation,Government,E
351,MasterV,Simulation,History,E
352,MasterV,Simulation,Hospital,E
353,MasterV,Simulation,Hunting,E
354,MasterV,Simulation,Life,E
355,MasterV,Simulation,Movies,E
356,MasterV,Simulation,Racing*,E
357,MasterV,Simulation,ScienceFiction,E
358,MasterV,Simulation,Space,E
359,MasterV,Simulation,Sports*,E
360,MasterV,Simulation,Surgery,E
361,MasterV,Simulation,Technology,E
362,MasterV,Simulation,Transport,E
363,MasterV,Simulation,Vocabulary,E
364,MasterV,Strategy,Airplane,E
365,MasterV,Strategy,Business,E
366,MasterV,Strategy,City,E
367,MasterV,Strategy,Colonization,E
368,MasterV,Strategy,Dungeon,E
369,MasterV,Strategy,Evolution,E
370,MasterV,Strategy,Expedition,E
371,MasterV,Strategy,Fantasy,E
372,MasterV,Strategy,Government,E
373,MasterV,Strategy,History,E
374,MasterV,Strategy,Medieval,E
375,MasterV,Strategy,ScienceFiction,E
376,MasterV,Strategy,Space,E
377,MasterV,Strategy,Transport,E
378,MasterV,Strategy,UFO,E
379,MasterV,Strategy,Vocabulary,E
380,Nuu,Action,Airplane,E
381,Nuu,Action,Airplane,Y
382,Nuu,Action,Aliens,E
383,Nuu,Action,AlternateHistory,E
384,Nuu,Action,Dungeon,E
385,Nuu,Action,ExtremeSports,Y
386,Nuu,Action,Fantasy,E
387,Nuu,Action,Fantasy,Y
388,Nuu,Action,Hunting,E
389,Nuu,Action,Medieval,E
390,Nuu,Action,Medieval,Y
391,Nuu,Action,Music*,Y
392,Nuu,Action,Mythology,E
393,Nuu,Action,Ninja,Y
394,Nuu,Action,Rhythm*,Y
395,Nuu,Action,ScienceFiction,E
396,Nuu,Action,Space,E
397,Nuu,Action,Sports*,E
398,Nuu,Action,Sports*,Y
399,Nuu,Action,Superheroes,E
400,Nuu,Action,Superheroes,Y
401,Nuu,Action,UFO,E
402,Nuu,Action,Vampire,E
403,Nuu,Adventure,Detective*,E
404,Nuu,Adventure,Fantasy,E
405,Nuu,Adventure,Fantasy,Y
406,Nuu,Adventure,Law*,E
407,Nuu,Adventure,Life,E
408,Nuu,Adventure,Life,Y
409,Nuu,Adventure,Medieval,E
410,Nuu,Adventure,Medieval,Y
411,Nuu,Adventure,Pirate,E
412,Nuu,Adventure,Pirate,Y
413,Nuu,Adventure,Romance,E
414,Nuu,Adventure,School,Y
415,Nuu,Adventure,ScienceFiction,E
416,Nuu,Adventure,TimeTravel,E
417,Nuu,Casual,Airplane,E
418,Nuu,Casual,Airplane,Y
419,Nuu,Casual,Cooking,E
420,Nuu,Casual,Dance,Y
421,Nuu,Casual,Farming,E
422,Nuu,Casual,Fashion,Y
423,Nuu,Casual,Movies,E
424,Nuu,Casual,Music*,Y
425,Nuu,Casual,Racing*,E
426,Nuu,Casual,Racing*,Y
427,Nuu,Casual,Rhythm*,Y
428,Nuu,Casual,Sports*,E
429,Nuu,Casual,Sports*,Y
430,Nuu,Casual,VirtualPet,Y
431,Nuu,Casual,Vocabulary,E
432,Nuu,RPG,Aliens,E
433,Nuu,RPG,AlternateHistory,E
434,Nuu,RPG,Detective*,E
435,Nuu,RPG,Dungeon,E
436,Nuu,RPG,Fantasy,E
437,Nuu,RPG,Fantasy,Y
438,Nuu,RPG,Fashion,Y
439,Nuu,RPG,Medieval,E
440,Nuu,RPG,Medieval,Y
441,Nuu,RPG,School,Y
442,Nuu,RPG,ScienceFiction,E
443,Nuu,RPG,Thief,E
444,Nuu,RPG,TimeTravel,E
445,Nuu,RPG,Vampire,E
446,Nuu,RPG,WildWest,Y
447,Nuu,Simulation,Airplane,E
448,Nuu,Simulation,Airplane,Y
449,Nuu,Simulation,Business,E
450,Nuu,Simulation,City,E
451,Nuu,Simulation,Colonization,E
452,Nuu,Simulation,Construction,E
453,Nuu,Simulation,Cooking,E
454,Nuu,Simulation,Dance,Y
455,Nuu,Simulation,Dungeon,E
456,Nuu,Simulation,Evolution,E
457,Nuu,Simulation,ExtremeSports,Y
458,Nuu,Simulation,Farming,E
459,Nuu,Simulation,Fashion,Y
460,Nuu,Simulation,GameDev,E
461,Nuu,Simulation,Government,E
462,Nuu,Simulation,History,E
463,Nuu,Simulation,Hospital,E
464,Nuu,Simulation,Hunting,E
465,Nuu,Simulation,Life,E
466,Nuu,Simulation,Life,Y
467,Nuu,Simulation,Movies,E
468,Nuu,Simulation,Music*,Y
469,Nuu,Simulation,Racing*,E
470,Nuu,Simulation,Racing*,Y
471,Nuu,Simulation,Rhythm*,Y
472,Nuu,Simulation,School,Y
473,Nuu,Simulation,ScienceFiction,E
474,Nuu,Simulation,Space,E
475,Nuu,Simulation,Sports*,E
476,Nuu,Simulation,Sports*,Y
477,Nuu,Simulation,Surgery,E
478,Nuu,Simulation,Technology,E
479,Nuu,Simulation,Transport,E
480,Nuu,Simulation,VirtualPet,Y
481,Nuu,Simulation,Vocabulary,E
482,Nuu,Strategy,Airplane,E
483,Nuu,Strategy,Airplane,Y
484,Nuu,Strategy,Business,E
485,Nuu,Strategy,City,E
486,Nuu,Strategy,Colonization,E
487,Nuu,Strategy,Dungeon,E
488,Nuu,Strategy,Evolution,E
489,Nuu,Strategy,Expedition,E
490,Nuu,Strategy,Fantasy,E
491,Nuu,Strategy,Fantasy,Y
492,Nuu,Strategy,Government,E
493,Nuu,Strategy,History,E
494,Nuu,Strategy,Medieval,E
495,Nuu,Strategy,Medieval,Y
496,Nuu,Strategy,School,Y
497,Nuu,Strategy,ScienceFiction,E
498,Nuu,Strategy,Space,E
499,Nuu,Strategy,Transport,E
500,Nuu,Strategy,UFO,E
501,Nuu,Strategy,Vocabulary,E
502,OYA,Action,Airplane,E
503,OYA,Action,Aliens,E
504,OYA,Action,AlternateHistory,E
505,OYA,Action,Dungeon,E
506,OYA,Action,Fantasy,E
507,OYA,Action,Hunting,E
508,OYA,Action,Medieval,E
509,OYA,Action,Mythology,E
510,OYA,Action,ScienceFiction,E
511,OYA,Action,Space,E
512,OYA,Action,Sports*,E
513,OYA,Action,Superheroes,E
514,OYA,Action,UFO,E
515,OYA,Action,Vampire,E
516,OYA,Adventure,Detective*,E
517,OYA,Adventure,Fantasy,E
518,OYA,Adventure,Law*,E
519,OYA,Adventure,Life,E
520,OYA,Adventure,Medieval,E
521,OYA,Adventure,Pirate,E
522,OYA,Adventure,Romance,E
523,OYA,Adventure,ScienceFiction,E
524,OYA,Adventure,TimeTravel,E
525,OYA,Casual,Airplane,E
526,OYA,Casual,Cooking,E
527,OYA,Casual,Farming,E
528,OYA,Casual,Movies,E
529,OYA,Casual,Racing*,E
530,OYA,Casual,Sports*,E
531,OYA,Casual,Vocabulary,E
532,OYA,RPG,Aliens,E
533,OYA,RPG,AlternateHistory,E
534,OYA,RPG,Detective*,E
535,OYA,RPG,Dungeon,E
536,OYA,RPG,Fantasy,E
537,OYA,RPG,Medieval,E
538,OYA,RPG,ScienceFiction,E
539,OYA,RPG,Thief,E
540,OYA,RPG,TimeTravel,E
541,OYA,RPG,Vampire,E
542,OYA,Simulation,Airplane,E
543,OYA,Simulation,Business,E
544,OYA,Simulation,City,E
545,OYA,Simulation,Colonization,E
546,OYA,Simulation,Construction,E
547,OYA,Simulation,Cooking,E
548,OYA,Simulation,Dungeon,E
549,OYA,Simulation,Evolution,E
550,OYA,Simulation,Farming,E
551,OYA,Simulation,GameDev,E
552,OYA,Simulation,Government,E
553,OYA,Simulation,History,E
554,OYA,Simulation,Hospital,E
555,OYA,Simulation,Hunting,E
556,OYA,Simulation,Life,E
557,OYA,Simulation,Movies,E
558,OYA,Simulation,Racing*,E
559,OYA,Simulation,ScienceFiction,E
560,OYA,Simulation,Space,E
561,OYA,Simulation,Sports*,E
562,OYA,Simulation,Surgery,E
563,OYA,Simulation,Technology,E
564,OYA,Simulation,Transport,E
565,OYA,Simulation,Vocabulary,E
566,OYA,Strategy,Airplane,E
567,OYA,Strategy,Business,E
568,OYA,Strategy,City,E
569,OYA,Strategy,Colonization,E
570,OYA,Strategy,Dungeon,E
571,OYA,Strategy,Evolution,E
572,OYA,Strategy,Expedition,E
573,OYA,Strategy,Fantasy,E
574,OYA,Strategy,Government,E
575,OYA,Strategy,History,E
576,OYA,Strategy,Medieval,E
577,OYA,Strategy,ScienceFiction,E
578,OYA,Strategy,Space,E
579,OYA,Strategy,Transport,E
580,OYA,Strategy,UFO,E
581,OYA,Strategy,Vocabulary,E
582,PC,Action,Aliens,M
583,PC,Action,AlternateHistory,M
584,PC,Action,Assassin,M
585,PC,Action,Crime,M
586,PC,Action,Cyberpunk,M
587,PC,Action,Dungeon,M
588,PC,Action,ExtremeSports,M
589,PC,Action,Fantasy,M
590,PC,Action,Horror,M
591,PC,Action,MartialArts,M
592,PC,Action,Military,M
593,PC,Action,Mythology,M
594,PC,Action,PostApocalyptic,M
595,PC,Action,Prison,M
596,PC,Action,ScienceFiction,M
597,PC,Action,Space,M
598,PC,Action,Spy,M
599,PC,Action,Superheroes,M
600,PC,Action,Vampire,M
601,PC,Action,Werewolf,M
602,PC,Action,Zombies,M
603,PC,Adventure,Abstract,M
604,PC,Adventure,Comedy,M
605,PC,Adventure,Fantasy,M
606,PC,Adventure,Horror,M
607,PC,Adventure,MadScience,M
608,PC,Adventure,Mystery*,M
609,PC,Adventure,Prison,M
610,PC,Adventure,Romance,M
611,PC,Adventure,ScienceFiction,M
612,PC,Adventure,Spy,M
613,PC,Casual,Comedy,M
614,PC,Casual,MartialArts,M
615,PC,Casual,Zombies,M
616,PC,RPG,Aliens,M
617,PC,RPG,AlternateHistory,M
618,PC,RPG,Assassin,M
619,PC,RPG,Cyberpunk,M
620,PC,RPG,Dungeon,M
621,PC,RPG,Fantasy,M
622,PC,RPG,MartialArts,M
623,PC,RPG,Mystery*,M
624,PC,RPG,PostApocalyptic,M
625,PC,RPG,ScienceFiction,M
626,PC,RPG,Spy,M
627,PC,RPG,Thief,M
628,PC,RPG,Vampire,M
629,PC,RPG,Werewolf,M
630,PC,RPG,WildWest,M
631,PC,Simulation,Disasters,M
632,PC,Simulation,Dungeon,M
633,PC,Simulation,Dystopian,M
634,PC,Simulation,ExtremeSports,M
635,PC,Simulation,Hacking,M
636,PC,Simulation,History,M
637,PC,Simulation,MartialArts,M
638,PC,Simulation,Military,M
639,PC,Simulation,Prison,M
640,PC,Simulation,ScienceFiction,M
641,PC,Simulation,Space,M
642,PC,Strategy,Disasters,M
643,PC,Strategy,Dungeon,M
644,PC,Strategy,Fantasy,M
645,PC,Strategy,Hacking,M
646,PC,Strategy,History,M
647,PC,Strategy,Military,M
648,PC,Strategy,ScienceFiction,M
649,PC,Strategy,Space,M
650,PPS,Action,Aliens,M
651,PPS,Action,AlternateHistory,M
652,PPS,Action,Assassin,M
653,PPS,Action,Crime,M
654,PPS,Action,Cyberpunk,M
655,PPS,Action,Dungeon,M
656,PPS,Action,ExtremeSports,M
657,PPS,Action,Fantasy,M
658,PPS,Action,Horror,M
659,PPS,Action,MartialArts,M
660,PPS,Action,Military,M
661,PPS,Action,Mythology,M
662,PPS,Action,PostApocalyptic,M
663,PPS,Action,Prison,M
664,PPS,Action,ScienceFiction,M
665,PPS,Action,Space,M
666,PPS,Action,Spy,M
667,PPS,Action,Superheroes,M
668,PPS,Action,Vampire,M
669,PPS,Action,Werewolf,M
670,PPS,Action,Zombies,M
671,PPS,Adventure,Abstract,M
672,PPS,Adventure,Comedy,M
673,PPS,Adventure,Fantasy,M
674,PPS,Adventure,Horror,M
675,PPS,Adventure,MadScience,M
676,PPS,Adventure,Mystery*,M
677,PPS,Adventure,Prison,M
678,PPS,Adventure,Romance,M
679,PPS,Adventure,ScienceFiction,M
680,PPS,Adventure,Spy,M
681,PPS,Casual,Comedy,M
682,PPS,Casual,MartialArts,M
683,PPS,Casual,Zombies,M
684,PPS,RPG,Aliens,M
685,PPS,RPG,AlternateHistory,M
686,PPS,RPG,Assassin,M
687,PPS,RPG,Cyberpunk,M
688,PPS,RPG,Dungeon,M
689,PPS,RPG,Fantasy,M
690,PPS,RPG,MartialArts,M
691,PPS,RPG,Mystery*,M
692,PPS,RPG,PostApocalyptic,M
693,PPS,RPG,ScienceFiction,M
694,PPS,RPG,Spy,M
695,PPS,RPG,Thief,M
696,PPS,RPG,Vampire,M
697,PPS,RPG,Werewolf,M
698,PPS,RPG,WildWest,M
699,PPS,Simulation,Disasters,M
700,PPS,Simulation,Dungeon,M
701,PPS,Simulation,Dystopian,M
702,PPS,Simulation,ExtremeSports,M
703,PPS,Simulation,Hacking,M
704,PPS,Simulation,History,M
705,PPS,Simulation,MartialArts,M
706,PPS,Simulation,Military,M
707,PPS,Simulation,Prison,M
708,PPS,Simulation,ScienceFiction,M
709,PPS,Simulation,Space,M
710,PPS,Strategy,Disasters,M
711,PPS,Strategy,Dungeon,M
712,PPS,Strategy,Fantasy,M
713,PPS,Strategy,Hacking,M
714,PPS,Strategy,History,M
715,PPS,Strategy,Military,M
716,PPS,Strategy,ScienceFiction,M
717,PPS,Strategy,Space,M
718,Playsystem,Action,Airplane,E
719,Playsystem,Action,Aliens,E
720,Playsystem,Action,AlternateHistory,E
721,Playsystem,Action,Dungeon,E
722,Playsystem,Action,Fantasy,E
723,Playsystem,Action,Hunting,E
724,Playsystem,Action,Medieval,E
725,Playsystem,Action,Mythology,E
726,Playsystem,Action,ScienceFiction,E
727,Playsystem,Action,Space,E
728,Playsystem,Action,Sports*,E
729,Playsystem,Action,Superheroes,E
730,Playsystem,Action,UFO,E
731,Playsystem,Action,Vampire,E
732,Playsystem,Adventure,Detective*,E
733,Playsystem,Adventure,Fantasy,E
734,Playsystem,Adventure,Law*,E
735,Playsystem,Adventure,Life,E
736,Playsystem,Adventure,Medieval,E
737,Playsystem,Adventure,Pirate,E
738,Playsystem,Adventure,Romance,E
739,Playsystem,Adventure,ScienceFiction,E
740,Playsystem,Adventure,TimeTravel,E
741,Playsystem,Casual,Airplane,E
742,Playsystem,Casual,Cooking,E
743,Playsystem,Casual,Farming,E
744,Playsystem,Casual,Movies,E
745,Playsystem,Casual,Racing*,E
746,Playsystem,Casual,Sports*,E
747,Playsystem,Casual,Vocabulary,E
748,Playsystem,RPG,Aliens,E
749,Playsystem,RPG,AlternateHistory,E
750,Playsystem,RPG,Detective*,E
751,Playsystem,RPG,Dungeon,E
752,Playsystem,RPG,Fantasy,E
753,Playsystem,RPG,Medieval,E
754,Playsystem,RPG,ScienceFiction,E
755,Playsystem,RPG,Thief,E
756,Playsystem,RPG,TimeTravel,E
757,Playsystem,RPG,Vampire,E
758,Playsystem,Simulation,Airplane,E
759,Playsystem,Simulation,Business,E
760,Playsystem,Simulation,City,E
761,Playsystem,Simulation,Colonization,E
762,Playsystem,Simulation,Construction,E
763,Playsystem,Simulation,Cooking,E
764,Playsystem,Simulation,Dungeon,E
765,Playsystem,Simulation,Evolution,E
766,Playsystem,Simulation,Farming,E
